number,Return_train,Sharpe_train,Drawdown_train,Return_test,Sharpe_test,Drawdown_test,params_adding_allocation,params_correlation_threshold,params_estimation_window,params_first_allocation,params_max_clusters,params_min_trading_days,params_tier,params_top_stocks
0,-0.15029346388749987,-1.5275500185537145,0.3741323235911398,0.061026928550849346,0.12944837118545285,0.0859728953058213,0.2,0.3,50,0.7,10,0.8,3,6
1,-0.11429953814810812,-1.1455476529956603,0.31567189950145935,0.00574270740681726,-0.46240144600255767,0.08679660721804228,0.2,0.3,80,0.55,8,0.8,2,3
2,-0.09461161253108541,-1.7266736934358993,0.2690843617247206,0.05522623458620868,0.09844239518815537,0.05359655339109748,0.2,0.3,50,0.4,8,0.65,4,9
3,-0.060757422594371224,-0.7930878495571763,0.2792214035557882,0.053538600579227325,0.03956723652906952,0.08331634776486385,0.3,0.3,80,0.4,10,0.8,1,3
4,-0.08607433816206778,-1.2100010123757057,0.2680030734474863,0.14705505992524848,1.3148305097996316,0.05142208673406801,0.3,0.6,50,0.7,8,0.65,2,6
5,-0.07308973868216684,-0.9611739883555322,0.284538752699795,0.003738064191074475,-0.5170770421060972,0.09194043869869972,0.3,0.3,80,0.4,8,0.5,3,3
6,-0.15306276267518193,-1.4523587162515208,0.3666518079067913,-0.06264309902983367,-1.2817542096857055,0.11659479588728161,0.3,0.6,40,0.7,8,0.8,3,9
7,-0.10191887665352872,-1.202686096167143,0.32706862603061004,-0.028042067777351076,-1.0463795095367328,0.07086650987667076,0.3,0.6,40,0.7,8,0.65,1,9
8,-0.17440923150292564,-1.784588910000875,0.38309813547578964,0.03934711337355523,-0.12860819905720128,0.08366305651184403,0.2,0.6,80,0.55,8,0.65,2,9
9,-0.007892234749760974,-0.8107739239981251,0.10097754266550307,0.006373283416275521,-0.6386724886794346,0.052433746962713634,0.2,0.6,40,0.4,10,0.5,1,3
