Date,VN30F1M,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
2021-06-01,1487.6,18.91,27.86,47.28,35.6,51.26,57.81,26.45,14.49,38.19,27.01,17.02,87.62,44.29,76.41,50.24,48.6,69.79,11.9,66.7,19.93,32.4,25.75,14.7,45.47,76.64,106.67,106.2,74.13,23.23,30.7
2021-06-02,1481.8,20.03,27.51,47.28,35.19,50.32,60.36,25.98,14.37,37.15,26.98,17.15,86.56,45.03,78.43,51.11,49.05,69.79,11.7,65.84,20.98,32.2,25.6,14.47,46.48,76.94,104.44,106.6,73.72,23.53,30.1
2021-06-03,1504.0,20.61,28.32,48.43,36.28,50.14,60.99,26.59,15.13,37.36,27.18,18.33,85.98,45.1,79.33,51.9,49.23,70.28,12.49,66.66,22.3,32.75,26.57,14.87,46.79,77.67,105.33,106.9,74.38,23.66,30.5
2021-06-04,1505.9,20.34,28.44,50.37,36.55,49.85,63.13,27.89,14.98,37.5,26.74,18.51,87.87,44.61,78.66,54.22,50.83,69.86,12.89,66.57,22.24,32.15,26.48,15.17,46.0,77.01,107.56,107.4,73.8,24.03,32.2
2021-06-07,1485.0,19.31,27.16,51.6,35.19,48.67,62.64,29.29,14.64,36.26,26.5,17.71,85.57,44.16,77.98,55.21,50.29,69.17,12.69,67.18,21.51,30.7,25.41,14.47,45.16,78.11,109.33,111.8,74.64,24.13,33.35
2021-06-08,1429.9,18.05,26.0,50.28,33.16,47.55,60.85,27.29,13.65,34.4,26.33,16.62,85.16,44.13,76.52,54.55,48.6,66.67,11.9,67.92,20.07,28.6,24.0,13.61,43.85,77.6,106.49,117.2,74.89,23.97,31.65
2021-06-09,1459.0,19.06,26.38,49.75,34.18,48.08,60.36,27.33,14.11,34.61,26.57,17.17,85.57,44.26,81.15,54.49,47.81,66.53,11.9,67.96,21.3,29.6,24.63,13.96,44.73,78.19,105.6,115.3,74.39,24.07,31.7
2021-06-10,1453.0,19.14,25.48,48.96,33.5,48.2,59.47,26.59,13.82,35.5,26.57,16.88,84.43,43.9,79.08,55.15,46.65,66.53,11.7,69.3,21.44,28.9,24.29,13.71,44.64,76.71,103.56,113.8,76.98,24.07,30.8
2021-06-11,1493.2,19.45,26.23,50.54,35.8,49.14,60.09,27.19,14.56,36.53,27.65,17.55,86.8,44.45,80.08,57.93,47.98,67.29,11.85,71.08,22.85,30.5,25.51,14.23,45.08,78.11,104.89,115.5,76.81,24.03,31.5
2021-06-14,1497.5,19.14,26.06,52.93,35.53,49.32,61.81,27.75,14.41,36.88,27.72,17.51,87.54,44.81,79.31,60.58,48.87,67.36,12.0,71.68,24.17,30.8,25.55,14.12,44.73,80.99,106.67,115.7,77.23,23.77,31.95
