Date,VN30F1M,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2022-11-18,963.0,14.84,74.82,26.37,43.21,22.1,52.1,83.66,11.83,9.9,13.73,11.33,95.2,41.42,29.25,16.58,23.74,10.1,79.33,12.21,17.1,11.01,10.81,43.33,48.0,11.57,65.6,102.2,68.8,14.03,27.6
2022-11-21,938.2,14.45,74.34,26.04,42.67,21.57,51.08,81.46,12.65,9.77,13.59,11.33,95.1,39.95,27.25,15.45,23.93,10.3,80.84,12.09,16.7,10.79,10.81,42.48,46.95,11.63,64.0,100.6,69.6,14.03,26.3
2022-11-22,926.0,14.28,72.88,26.73,43.08,21.39,51.37,79.92,12.26,9.67,13.45,11.4,91.8,39.5,25.35,14.41,24.78,10.35,80.22,12.28,16.9,10.6,10.84,41.63,45.3,11.44,61.0,98.1,71.03,14.03,26.15
2022-11-23,924.1,14.49,72.88,27.43,43.52,21.84,51.37,79.19,12.22,9.67,12.55,11.33,92.9,39.8,23.6,13.42,25.2,10.45,80.57,11.87,17.5,10.67,10.5,41.63,44.4,11.25,59.7,100.4,70.94,13.62,26.15
2022-11-24,938.9,14.74,72.88,27.87,43.57,22.02,51.37,77.44,12.65,9.77,13.05,11.33,89.0,37.05,21.95,12.51,26.01,10.6,79.91,12.02,18.2,10.74,10.5,41.35,45.0,11.22,61.0,101.2,72.55,13.67,27.1
2022-11-25,969.0,15.09,72.78,29.34,44.74,23.09,52.47,76.7,13.14,9.87,13.91,11.69,94.0,37.15,20.45,11.65,26.72,10.85,79.68,12.84,18.9,11.15,10.66,41.4,47.0,11.51,65.0,102.0,73.44,14.03,27.4
2022-11-28,993.7,15.61,74.82,28.97,44.64,24.43,54.14,82.05,13.72,10.2,14.86,12.41,97.2,39.45,20.45,10.84,27.76,11.3,78.4,13.71,19.7,11.93,11.02,43.44,50.2,11.98,65.0,102.2,73.0,14.57,29.3
2022-11-29,1015.5,15.54,76.77,30.07,45.03,24.52,54.14,81.97,13.77,10.2,15.82,12.41,99.0,42.06,21.85,11.56,27.99,11.3,77.91,14.23,19.75,12.22,11.29,45.2,53.1,11.91,69.4,102.8,74.16,14.62,30.5
2022-11-30,1027.9,15.51,78.51,30.14,46.22,24.39,54.36,80.66,13.82,10.27,16.73,12.56,102.0,43.34,23.35,12.33,27.9,11.65,79.68,14.46,20.0,12.56,11.55,45.88,54.5,12.73,69.6,103.0,73.98,15.2,30.55
2022-12-01,1029.0,15.79,78.51,28.6,45.6,23.4,54.43,77.95,14.41,10.53,16.55,12.84,99.0,43.29,23.35,13.19,29.32,11.2,77.65,13.67,19.5,13.29,11.44,45.31,53.5,12.57,66.0,103.2,73.62,15.2,30.0
2022-12-02,1101.0,16.49,78.51,30.22,45.98,25.01,56.4,81.39,15.09,10.9,17.68,13.57,103.9,46.19,23.8,14.09,29.74,11.7,78.36,14.61,20.85,13.97,11.97,48.14,57.2,13.45,68.8,106.5,75.05,15.66,31.55
2022-12-05,1104.0,16.56,79.68,30.25,48.17,25.59,57.06,82.85,15.18,11.19,18.18,13.71,105.0,46.78,22.15,15.04,30.31,11.5,79.55,15.62,22.3,14.06,12.15,48.14,58.3,13.77,68.1,106.9,75.94,16.43,31.55
2022-12-06,1046.0,15.65,77.74,28.68,45.79,24.16,55.38,80.14,14.16,10.83,16.91,12.77,102.0,43.58,20.6,14.0,28.56,10.9,79.02,14.68,20.75,13.12,11.34,45.31,55.0,12.83,66.6,106.0,73.71,15.29,29.35
2022-12-07,1053.3,15.65,76.96,28.6,46.07,24.48,55.74,78.17,13.63,10.5,16.59,12.48,100.0,44.07,19.2,14.27,27.61,10.95,79.24,14.46,20.3,12.8,11.0,44.46,55.5,12.86,71.2,106.0,73.71,14.66,29.5
2022-12-08,1055.0,15.89,78.13,28.6,46.27,24.88,56.11,77.58,14.31,10.9,17.18,13.06,96.0,45.2,17.9,15.0,28.18,11.2,78.8,15.44,21.7,13.67,11.55,43.61,55.4,13.17,69.9,107.0,72.37,15.39,28.75
2022-12-09,1070.0,16.17,77.25,28.75,45.69,25.1,56.84,77.58,14.65,11.09,17.45,13.13,97.0,45.4,16.65,14.91,28.75,11.2,78.8,15.21,22.4,13.7,11.81,43.78,54.1,13.17,67.8,111.5,71.48,15.29,28.9
2022-12-12,1035.2,15.79,75.79,27.94,46.27,24.57,56.11,76.85,14.41,10.7,16.91,12.77,97.0,45.11,17.8,14.0,29.41,11.15,78.93,14.38,21.3,13.19,12.02,43.84,50.5,12.79,63.1,111.4,70.14,15.07,27.05
2022-12-13,1058.0,16.17,77.74,28.38,47.6,25.19,56.25,77.29,14.6,10.86,17.27,12.99,97.0,45.6,18.2,14.0,29.69,11.4,78.8,15.32,22.55,13.97,12.07,44.29,53.0,13.05,61.6,112.0,69.69,15.48,28.0
2022-12-14,1059.6,16.24,77.74,28.46,47.46,24.97,55.6,78.68,15.09,10.86,17.45,13.1,96.0,45.65,18.5,13.55,29.65,11.4,79.24,15.1,23.25,13.97,11.97,44.63,53.0,12.95,60.8,112.2,69.24,15.43,27.95
2022-12-15,1065.1,16.28,77.64,28.6,47.22,25.28,56.62,77.8,15.18,11.06,17.59,13.67,98.2,46.19,17.9,12.96,29.55,11.4,79.24,15.21,23.25,14.3,12.07,45.03,50.7,13.2,60.6,112.9,69.33,16.47,27.9
2022-12-16,1060.0,16.14,77.74,28.53,47.31,25.1,56.76,77.87,15.38,11.42,18.55,13.57,93.5,47.02,18.2,13.1,29.32,11.45,78.4,15.4,22.8,14.14,12.07,45.14,49.3,13.08,58.4,113.0,69.69,16.74,26.2
2022-12-19,1045.0,15.96,77.06,28.46,45.98,24.66,55.82,77.0,14.89,11.46,18.18,13.24,95.0,46.33,17.5,12.47,28.75,11.1,77.47,15.4,22.4,14.18,11.81,44.86,48.2,13.05,56.5,111.2,68.8,16.25,27.3
2022-12-20,1027.0,15.82,77.25,28.24,45.79,25.06,55.82,76.7,13.92,10.99,17.27,12.7,94.0,45.69,16.3,11.65,27.76,10.7,77.7,14.87,22.45,13.43,11.55,44.74,48.2,12.39,55.9,111.3,70.32,15.66,25.75
2022-12-21,1037.0,16.0,77.25,28.31,45.79,24.61,56.25,75.75,13.82,11.09,17.18,12.77,94.9,45.6,15.2,10.84,27.9,10.45,78.59,14.5,23.55,13.43,11.34,44.57,48.5,12.39,54.9,111.6,71.21,15.97,26.0
2022-12-22,1037.7,16.07,77.74,28.6,45.98,24.7,56.25,74.07,14.11,11.13,17.18,12.99,94.4,45.69,15.5,11.56,28.99,10.7,78.73,14.35,23.4,13.43,11.73,44.91,49.0,12.54,55.0,111.3,70.03,16.7,26.0
2022-12-23,1034.8,16.07,77.54,28.6,45.69,24.74,56.84,74.29,13.97,11.23,16.68,12.81,95.0,45.01,15.1,11.79,29.22,10.95,78.59,13.75,23.5,13.38,11.55,44.8,49.8,12.35,55.1,111.5,69.3,16.61,25.8
