Date,VN30F1M,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2022-05-13,1225.0,15.44,23.32,45.36,21.39,55.67,71.25,20.19,11.73,24.7,29.53,14.49,96.19,61.07,75.0,48.43,33.88,11.45,72.03,17.51,20.45,16.39,15.75,41.35,66.07,15.91,78.0,125.9,57.08,17.5,25.3
2022-05-16,1212.0,15.49,23.61,42.85,21.97,55.44,67.68,20.71,11.89,24.98,29.53,14.79,89.54,60.04,75.0,49.33,35.47,11.6,69.86,18.53,19.05,15.81,16.27,42.03,63.93,16.06,77.0,126.0,56.82,17.5,26.25
2022-05-17,1280.9,16.42,25.26,45.81,23.49,59.3,71.89,22.14,12.68,26.28,31.33,15.82,95.79,64.24,78.3,51.5,37.92,12.4,73.27,19.78,20.35,16.9,17.32,43.04,65.0,16.72,78.0,128.0,60.45,18.7,27.4
2022-05-18,1281.0,16.25,25.59,45.36,23.8,58.11,74.81,22.14,12.68,26.28,31.18,16.03,102.45,65.17,78.3,50.41,37.56,12.65,71.49,19.44,21.75,17.48,16.9,42.71,65.0,16.72,78.0,125.7,60.71,18.67,27.4
2022-05-19,1283.0,16.05,25.41,44.82,23.36,57.7,75.38,21.76,12.84,26.08,31.18,16.09,109.59,64.93,78.0,48.79,36.74,12.8,72.11,19.34,21.75,17.36,16.35,43.04,65.1,16.22,77.9,125.3,59.58,18.37,27.4
2022-05-20,1276.8,16.31,25.3,44.91,23.18,57.99,74.45,22.47,12.86,25.9,31.1,16.24,107.01,65.41,77.8,48.61,36.74,12.8,69.28,19.31,21.6,17.31,16.48,42.65,64.9,16.25,77.8,125.3,58.81,18.46,27.35
2022-05-23,1253.1,15.97,24.46,45.45,22.37,57.4,73.74,22.47,12.78,25.28,30.73,15.82,103.74,63.85,76.4,47.88,36.51,12.75,68.22,17.98,20.35,16.9,15.75,42.14,64.81,15.59,77.4,125.0,57.25,17.68,27.35
2022-05-24,1267.0,16.17,24.75,45.54,23.27,58.41,75.38,22.89,12.99,24.01,30.13,16.15,108.2,64.93,77.2,48.06,36.29,12.85,68.17,19.07,21.75,17.09,16.22,42.82,65.0,16.03,77.6,125.3,59.5,18.1,28.1
2022-05-25,1299.3,16.84,25.59,47.24,24.07,62.45,77.23,24.03,13.55,23.7,30.73,16.87,109.69,67.85,78.9,47.7,37.56,13.4,68.17,19.54,22.75,17.7,16.75,43.61,65.97,16.57,77.7,125.7,62.09,19.01,29.45
2022-05-26,1300.9,17.04,25.74,47.86,23.89,62.81,76.66,24.03,13.5,24.08,31.14,16.63,107.81,67.85,78.0,48.43,38.6,13.15,67.73,19.98,22.4,17.8,16.59,43.44,66.75,16.47,77.7,125.0,61.57,18.73,29.6
2022-05-27,1322.5,17.85,25.89,47.95,24.16,66.5,78.37,24.17,13.63,24.39,31.97,16.84,109.2,71.61,78.4,49.06,38.64,13.35,68.17,20.29,22.25,18.16,16.96,43.84,67.72,16.88,78.0,127.0,63.04,18.76,29.8
2022-05-30,1325.6,17.93,26.22,47.86,24.43,66.2,78.37,24.13,13.66,24.39,31.86,16.9,109.2,70.88,78.7,49.96,39.37,13.45,67.91,20.29,22.8,18.31,17.32,44.18,68.5,17.1,78.5,132.5,62.6,19.07,29.95
2022-05-31,1320.5,17.71,25.89,47.06,24.97,65.37,83.86,23.89,13.79,23.87,31.59,16.69,111.58,70.74,78.0,49.51,39.91,13.55,67.95,20.12,22.35,18.01,16.98,44.69,69.6,16.85,78.8,130.9,61.91,18.7,30.15
2022-06-01,1326.0,17.46,25.78,47.33,24.83,66.5,86.21,23.84,13.81,23.63,31.56,16.6,114.16,71.03,78.0,49.24,40.37,13.95,67.78,20.05,22.25,17.87,16.8,45.59,70.3,16.66,79.3,131.3,62.09,18.61,30.05
2022-06-02,1315.0,17.79,25.45,48.4,24.83,66.32,84.71,24.46,13.73,22.81,30.8,16.36,113.46,72.1,78.9,48.97,39.46,13.55,67.73,19.68,21.55,17.65,16.8,44.74,69.5,16.53,78.9,128.7,61.4,18.25,29.95
2022-06-03,1318.5,17.75,25.19,48.49,24.52,67.81,88.49,23.7,13.42,22.98,30.65,16.48,111.98,74.79,77.5,48.52,39.46,13.5,68.71,19.85,21.15,17.67,16.72,43.89,69.4,16.41,78.8,127.0,60.71,18.55,29.95
2022-06-06,1315.0,17.75,25.08,48.4,24.34,67.21,92.55,23.84,13.36,22.91,30.54,16.39,116.15,75.52,76.3,48.52,40.73,13.8,70.17,19.68,20.5,17.48,16.12,45.14,69.3,16.44,78.5,127.6,61.14,18.46,29.95
2022-06-07,1315.0,17.51,24.64,50.19,24.52,68.76,92.62,23.98,13.36,22.84,30.35,16.21,117.04,75.18,76.0,47.79,42.36,14.75,70.79,19.14,20.2,17.55,15.54,45.88,68.5,16.35,78.0,126.8,60.96,18.37,29.9
2022-06-08,1333.0,18.03,25.15,49.56,24.79,68.4,91.84,25.64,13.71,22.64,31.03,16.81,118.43,75.37,76.4,47.61,42.5,15.4,70.7,19.88,21.6,18.06,15.88,44.86,68.5,16.75,78.1,127.0,61.31,19.19,30.4
2022-06-09,1335.3,18.07,25.3,49.21,24.79,68.58,90.91,26.02,13.63,23.26,30.84,16.72,117.63,75.08,76.5,48.06,42.55,15.9,69.5,19.68,22.3,18.14,15.78,44.06,68.3,16.66,78.1,127.8,60.62,19.01,30.9
2022-06-10,1311.1,17.68,24.79,48.13,24.25,65.43,84.57,24.74,13.68,23.12,30.77,16.54,116.15,73.7,77.0,47.61,40.82,15.0,69.81,18.9,21.9,18.4,15.59,44.01,68.3,16.38,78.0,127.7,60.01,18.64,30.5
2022-06-13,1260.2,16.77,23.43,44.82,22.6,62.09,84.07,23.04,12.97,21.88,29.98,15.42,108.2,68.79,76.0,45.17,38.1,15.25,67.73,17.61,20.6,17.46,14.52,43.27,66.0,15.25,76.4,124.9,57.34,17.35,29.0
2022-06-14,1268.3,16.91,23.69,45.99,22.6,64.18,89.77,23.46,13.15,20.85,29.3,15.33,105.52,70.51,76.6,45.08,39.1,15.25,66.4,16.52,20.9,17.34,13.91,43.61,66.0,14.21,76.6,124.8,57.08,17.41,29.15
2022-06-15,1251.3,16.56,23.47,45.99,21.93,65.19,88.35,21.85,12.94,20.23,28.63,14.97,105.23,72.57,76.4,44.09,37.19,14.5,67.29,15.37,20.7,17.31,13.94,43.33,65.9,13.83,76.7,124.5,55.7,17.41,28.9
2022-06-16,1286.0,16.91,23.69,46.88,22.1,66.27,91.2,22.28,13.18,21.33,29.38,14.97,109.89,77.63,77.5,45.9,38.15,15.4,69.24,15.03,21.0,17.48,14.07,44.8,66.0,13.96,76.6,125.4,58.72,17.5,29.2
2022-06-17,1245.2,16.21,23.17,46.07,21.08,66.27,95.47,21.52,12.99,21.09,29.3,14.01,116.15,76.35,75.7,45.44,38.01,16.1,69.06,13.98,20.25,16.73,13.39,43.1,66.0,12.98,76.6,124.9,57.6,16.83,29.35
2022-06-20,1212.0,16.07,21.63,45.09,20.23,66.27,88.85,20.67,12.55,19.64,28.96,13.53,110.19,72.62,75.5,45.08,35.61,15.0,67.29,13.03,18.85,16.0,13.15,43.04,65.0,12.13,75.6,127.0,59.58,16.35,28.7
2022-06-21,1228.0,16.14,22.22,46.07,20.63,64.18,85.14,20.57,12.47,18.91,29.04,13.5,110.19,72.23,75.5,45.62,35.38,13.95,68.62,12.42,19.2,16.0,13.47,44.01,65.0,11.32,75.0,127.8,63.64,16.41,28.0
2022-06-22,1216.0,16.66,22.37,45.72,21.12,60.87,79.23,20.67,12.47,19.55,28.93,14.1,105.23,68.59,75.5,46.8,35.83,13.0,69.06,13.29,20.5,16.87,13.75,43.04,64.8,12.1,75.0,129.3,60.96,17.14,28.5
2022-06-23,1227.8,16.66,22.73,47.15,22.6,61.59,83.22,21.52,12.41,19.82,28.63,14.46,109.2,71.24,74.9,47.16,36.92,13.9,67.91,13.9,21.3,17.43,13.91,42.99,63.2,12.79,74.2,128.2,61.05,17.17,28.05
2022-06-24,1227.0,16.7,22.88,49.03,22.15,61.59,81.22,21.57,12.15,19.82,28.89,14.25,108.7,70.65,74.0,47.43,37.01,13.55,68.88,13.97,21.2,17.21,13.65,42.48,63.2,12.95,74.6,128.3,61.74,16.98,27.55
2022-06-27,1247.9,16.8,23.28,49.3,22.91,62.31,81.51,22.14,12.33,20.82,29.34,14.49,112.17,70.26,78.8,47.52,37.65,13.85,69.41,14.91,21.5,17.24,14.02,42.42,63.5,13.01,73.8,133.0,61.4,17.44,28.75
2022-06-28,1261.0,17.19,24.68,50.37,23.89,64.61,82.65,22.28,12.81,20.45,29.49,14.85,113.17,71.54,75.1,47.88,37.92,13.9,69.55,14.72,22.55,17.8,14.49,43.21,63.8,13.89,73.6,133.0,61.14,18.1,28.85
